ID,collected?,mainCategory,subCategory,name,type,team,requirementText,rewardText,unobtainable?,paid?,altRequirementText,season,internalSort
1,FALSE,Achievements or Trophies,Achievements or Trophies,Super Bomb Man,Multiplayer,,Arm or disarm 5 M-COM explosives in a Multiplayer match.,,,,,0,
2,FALSE,Achievements or Trophies,Achievements or Trophies,Command and Conquest 2,Multiplayer,,Capture 128 objectives in Conquest.,,,,,0,
3,FALSE,Achievements or Trophies,Achievements or Trophies,Roadside Assistance,Single Player,,Collapse an overpass on a tank in Nile Guard.,,,,,0,
4,FALSE,Achievements or Trophies,Achievements or Trophies,Dog of War,REDSEC,,Collect 9 dog tags in Battle Royale or Gauntlet.,,,,,1,
5,FALSE,Achievements or Trophies,Achievements or Trophies,Medal of Honor,Multiplayer,,Commit 414 acts of valor in Multiplayer.,,,,,0,
6,FALSE,Achievements or Trophies,Achievements or Trophies,Mission Accepted,REDSEC,,Complete 214 missions in any version of Battle Royale.,,,,,1,
7,FALSE,Achievements or Trophies,Achievements or Trophies,Peak Performance,Single Player,,Complete a campaign mission on the hardest difficulty.,,,,,0,
8,FALSE,Achievements or Trophies,Achievements or Trophies,Stand Alone,Single Player,,Complete Always Faithful.,,,,,0,
9,FALSE,Achievements or Trophies,Achievements or Trophies,Sidearm Savant,Single Player,,"Complete Night Raid using only pistols, knives, or gadgets.",,,,,0,
10,FALSE,Achievements or Trophies,Achievements or Trophies,Devil In The Dark,Single Player,,Complete Night Raid.,,,,,0,
11,FALSE,Achievements or Trophies,Achievements or Trophies,High Roller,Single Player,,Complete Nile Guard.,,,,,0,
12,FALSE,Achievements or Trophies,Achievements or Trophies,Secret Service,Single Player,,Complete No Sleep and Moving Mountains.,,,,,0,
13,FALSE,Achievements or Trophies,Achievements or Trophies,Damned If You Do,Single Player,,Complete Operation Ember Strike.,,,,,0,
14,FALSE,Achievements or Trophies,Achievements or Trophies,Cloak And Dagger,Single Player,,Complete the Battlefield 6 campaign.,,,,,0,
15,FALSE,Achievements or Trophies,Achievements or Trophies,Rock of Gibraltar,Single Player,,Complete The Rock and Operation Gladius.,,,,,0,
16,FALSE,Achievements or Trophies,Achievements or Trophies,A little C-4 Knocking on Your Door,Multiplayer,,Deal 2000 damage to enemy vehicles with the Demolition Charge.,,,,,0,
17,FALSE,Achievements or Trophies,Achievements or Trophies,Here's Your Birthday Present,REDSEC,,Deploy 42 call-ins.,,,,,1,
18,FALSE,Achievements or Trophies,Achievements or Trophies,Armor Annihilation,Single Player,,Destroy 10 enemy vehicles in single player.,,,,,0,
19,FALSE,Achievements or Trophies,Achievements or Trophies,Efficiency,Single Player,,Destroy 10 mannequins in The Rock.,,,,,0,
